,player_id,match_id,team_id,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received
8,b579e83d,814b563c,2abfe087,DM,25-278,90,44,3,17,28,1,0,41,2,2,100.0,2,0,31,93,27,1,0,0,1,2,19,17,89.5,0
9,de0f152c,814b563c,2abfe087,LB,27-224,90,48,7,28,19,3,0,40,2,2,100.0,2,0,23,114,37,2,1,0,0,0,23,23,100.0,0
10,914ab9a1,814b563c,2abfe087,CB,30-171,90,51,14,44,6,1,1,51,0,0,,0,0,25,93,34,2,0,0,0,0,30,30,100.0,0
11,7ed4921e,814b563c,2abfe087,CB,27-347,90,47,9,37,13,0,0,44,0,0,,0,0,23,153,111,0,0,0,0,0,31,31,100.0,0
12,89e4b358,814b563c,2abfe087,RB,32-189,90,39,2,19,12,10,0,29,0,0,,0,0,15,49,37,2,1,0,0,0,20,17,85.0,0
13,1c0eea98,814b563c,2abfe087,GK,27-036,90,32,32,32,0,0,0,24,0,0,,0,0,20,82,26,0,0,0,0,0,15,15,100.0,0
0,07802f7f,814b563c,8602292d,FW,29-022,90,22,0,0,9,13,6,18,2,2,100.0,2,1,14,51,31,2,0,1,3,1,56,14,25.0,6
1,be927d03,814b563c,8602292d,"LB,LW,RW",36-036,90,59,2,15,38,11,1,56,0,0,,0,0,40,168,94,2,2,0,0,0,46,43,93.5,4
2,ffa90327,814b563c,8602292d,"RW,LW",26-103,59,22,0,0,7,17,2,21,0,0,,0,0,14,77,62,5,2,1,4,2,28,16,57.1,3
3,3a233281,814b563c,8602292d,"LM,LW",24-005,31,14,0,1,6,9,2,13,3,4,75.0,3,0,14,82,56,6,0,1,1,0,12,10,83.3,3
4,66b76d44,814b563c,8602292d,"AM,RW",24-232,71,42,0,2,27,17,0,37,1,2,50.0,1,0,27,96,43,4,2,0,1,4,35,30,85.7,3
