,player_id,match_id,team_id,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked
10,914ab9a1,814b563c,2abfe087,CB,30-171,90,40,40,0,0,0,3,1,0,0,0,0,0,24,6,10,5,30,2,0,1,35,0,2,0,0
11,7ed4921e,814b563c,2abfe087,CB,27-347,90,41,38,3,3,0,0,6,0,0,0,0,0,25,5,11,3,35,3,0,0,33,0,1,1,0
12,89e4b358,814b563c,2abfe087,RB,32-189,90,36,25,11,1,0,3,0,0,0,0,0,0,12,9,15,6,17,3,10,0,22,0,3,2,2
13,1c0eea98,814b563c,2abfe087,GK,27-036,90,32,24,8,0,0,2,0,0,0,0,0,0,15,0,17,1,23,0,0,5,21,0,0,0,0
0,07802f7f,814b563c,8602292d,FW,29-022,90,14,11,3,0,0,0,1,1,0,0,0,0,6,3,5,1,10,3,0,0,8,0,0,1,0
1,be927d03,814b563c,8602292d,"LB,LW,RW",36-036,90,53,50,3,1,0,3,3,2,0,0,0,0,34,10,9,11,37,2,2,1,40,1,1,1,0
2,ffa90327,814b563c,8602292d,"RW,LW",26-103,59,14,13,1,0,0,3,0,2,0,0,0,0,7,3,4,1,10,1,1,0,9,0,0,0,1
3,3a233281,814b563c,8602292d,"LM,LW",24-005,31,8,8,0,0,0,0,1,3,0,0,0,0,4,1,3,5,3,0,0,0,5,0,0,0,0
4,66b76d44,814b563c,8602292d,"AM,RW",24-232,71,33,28,5,1,0,5,4,0,3,2,1,0,21,5,7,3,28,0,1,0,25,0,0,1,0
5,c47541e0,814b563c,8602292d,RM,25-342,19,9,9,0,0,0,3,1,1,0,0,0,0,5,1,3,9,0,0,0,0,8,0,1,0,0
6,de5b5570,814b563c,8602292d,DM,27-207,90,48,48,0,0,0,9,1,0,0,0,0,0,44,2,2,40,7,0,0,0,42,0,0,2,2
